Metadata,Avatar Prior,,,,,Avatar Creation,,,,,,Avatar Animation,,,,,,,Double Checked,Reviewer
Bib ref,Prior Dataset Size,Datasets,Data Type,Data Modality,GPU Days,Needed Assets,Input,Additional Priors,Req. Optimization,Creation Speed,Time of Creation,Animation Signal,Lighting Control,Animation Speed,Time of Anim.,Image Synthesis,Image Refinement,Contents,,
Lombardi21mvp,,,,,,Tracked 3DMM,Multi-view video,3DMM,Yes,Slow (>6h),5 days,General expr,None,Real-time (>30 FPS),20,MVP,No,Face,FALSE,
Ma2021pica,,,,,,"Meshes, Textures",Multi-view video,3DMM,Yes,Slow (>6h),2 days,General expr,None,Real-time (>30 FPS),50,Mesh,Yes,Face,FALSE,
kirschstein2024diffusionavatars,,,,,,"Tracked 3DMM, Cameras",Multi-view video,"3DMM, Image Diffusion",Yes,Slow (>6h),2 days,3DMM expr,None,Offline (<1 FPS),0.5,Mesh,Yes,Face,FALSE,
Qian2024gaussianavatars,,,,,,"Tracked 3DMM, Cameras",Multi-view video,3DMM,Yes,Slow (>6h),7 hours,3DMM expr,None,Real-time (>30 FPS),156,3DGS,No,Face,FALSE,
giebenhain2024npga,,,,,,"Tracked 3DMM, Cameras",Multi-view video,3DMM,Yes,Slow (>6h),30 hours,3DMM expr,None,Interactive (>5 FPS),18,3DGS,Yes,Face,FALSE,
teotia2024gaussianheads,,,,,,"Tracked 3DMM, Cameras",Multi-view video,3DMM,Yes,Slow (>6h),24 hours,Multi-view image,None,Real-time (>30 FPS),75,3DGS,No,Face,FALSE,
Zielonka2025gem,,,,,,"Tracked 3DMM, Cameras",Multi-view video,3DMM,Yes,Slow (>6h),16 hours,Video,None,Real-time (>30 FPS),117,3DGS,No,Face,FALSE,
Saito2024relightable,,,,,,"Registered Meshes, Textures, Cameras",OLAT multi-view video,3DMM,Yes,Slow (>6h),3 days,General expr,"Local Light, Distant Light",Real-time (>30 FPS),55,3DGS,No,Face,FALSE,
aneja2024gaussianspeech,,,,,,"Tracked 3DMM, Cameras","Multi-view video, Audio","Wave2Vec, 3DMM",Yes,Slow (>6h),,Audio,None,Real-time (>30 FPS),123,3DGS,No,Face,FALSE,
Gafni2021dynamic,,,,,,"Cameras, Tracked 3DMM",Mono video,,Yes,Slow (>6h),54 hours,3DMM expr,None,Offline (<1 FPS),0.25,NeRF,No,Face,FALSE,
Grassal2022nha,,,,,,"Tracked 3DMM, Cameras",Mono video,3DMM,Yes,Slow (>6h),7 hours,3DMM expr,None,Interactive (>5 FPS),,Mesh,No,Face,FALSE,
Zheng2022avatar,,,,,,"Tracked 3DMM, Cameras",Mono video,3DMM,Yes,Slow (>6h),48 hours,3DMM expr,None,Offline (<1 FPS),0.01,SDF,No,Face,FALSE,
cao2022authentic,255,Internal,Real,Multi-view video,ask authors,"Registered Meshes, Textures",Mono video,,Yes,Slow (>6h),24 hours,General expr,None,Real-time (>30 FPS),30,NeRF,No,Face,FALSE,
Li2024urvatar,345,Internal,Real,OLAT multi-view video,320,"Registered Meshes, Textures, Cameras",Mono video,Relighting,Yes,Slow (>6h),24 hours,General expr,"Local Light, Distant Light",Real-time (>30 FPS),,3DGS,No,Face,FALSE,
kim2025haircup,252,Internal,Real,OLAT multi-view video,448,"Registered Meshes, Textures, Cameras",Mono video,Image Diffusion,Yes,Medium (<6h),1 hour,General expr,Distant Light,Real-time (>30 FPS),,3DGS,No,"Face, Hair",FALSE,
Zielonka2023insta,,,,,,"Tracked 3DMM, Cameras",Mono video,3DMM,Yes,Fast (<30min),10 mins,3DMM expr,None,Real-time (>30 FPS),20,NeRF,No,Face,FALSE,
zheng2023pointavatar,,,,,,"Tracked 3DMM, Cameras",Mono video,3DMM,Yes,Slow (>6h),6 hours,3DMM expr,Distant Light,Offline (<1 FPS),1,Points,No,Face,FALSE,
Xu2024gphm,15625,"VFHQ,NeRSemble, NPHM, FaceVerse","Real, Generated","Multi-view video, Mono video",64,Tracked 3DMM,"One, Few, Mono video",PortraitAnimation,Yes,Medium (<6h),5 minutes,General expr,None,Real-time (>30 FPS),,3DGS,Yes,Face,FALSE,
ding2023diffusionrig,70000,FFHQ,Real,Single image,5,Tracked 3DMM,Few,"3DMM, Image Diffusion",Yes,Medium (<6h),30 mins,3DMM expr,Distant Light,Offline (<1 FPS),,Mesh,Yes,Face,FALSE,
