Metadata,,Dataset,,,,,,
Bib ref,Name,Body Parts,Data Type,Data Modality,Size,# Cameras, Is Calibrated,MV-Video
Kirschstein2023nersemble,NeRSemble,Faces,Real,Multi-view video,425,16,Yes,nersemble
Martinez2024codec,Ava256,Faces,Real,Multi-view video,256,80,Yes,ava256
pan2023renderme360,RenderMe-360,Faces,Real,Multi-view video,500,60,Yes,renderme360
,,,,,,,,MV-Video + OLAT
martinez2024codec,Goliath,Faces,Real,OLAT multi-view video,4,110,Yes,goliath-4
schmidt2025becominglit,BecomingLit,Faces,Real,OLAT multi-view video,10,16,Yes,becominglit
,,,,,,,,Multi-view Static / Mesh datasets
Zhu2023facescape,FaceScape,Faces,Real,"Multi-view image, Meshes",359,60,Yes,FaceScape
giebenhain2023nphm,NPHM,Faces,Real,Meshes,477,,,NPHM
wang2022faceverse,FaceVerse,Faces,Real,Meshes,128,,,FaceVerse
zheng2023ilsh,ILSH,Faces,Real,Multi-view image,52,24,Yes,ILHS
papaioannou2022mimicme,MimicME,Faces,Real,Meshes,4700,,,MimicMe
,,,,,,,,Synthetic Face Datasets
Buehler2024cafca,Cafca,Faces,Synthetic,Multi-view image,1500,30,Yes,Cafca
Saleh2025david,DAViD,"Full-body, Faces",Synthetic,"Single image, Depth, Normals",300000,1,No,David
he2024head360,Synhead100,Faces,Synthetic,"Meshes, Multi-view image",100,72,Yes,SynHead100
,,,,,,,,Few-view multi-view video (no calibration)
wang2020mead,MEAD,Faces,Real,Multi-view video,60,7,No,MEAD
drobyshev2024emoportraits,FEED,Faces,Real,Multi-view video,17,3,No,feed
li2021aist++,AIST++,Full-body,Real,Multi-view video,30,9,,AIST++
varol2017surreal,SURREAL,Full-body,Synthetic,Mono video,145,1,,SURREAL
,,,,,,,,monovideo datasets:
wang2021facevid2vid,TalkingHead-1KH,Faces,Real,Mono video,80000,1,No,talking head 1k (high-res only)
cui2025hallo3,Hallo3,Faces,Real,Mono video,101000,1,No,Hello3
zhu2022celebvhq,CelebV-HQ,Faces,Real,Mono video,15653,1,No,CelebV-HQ
yu2023celebvtext,CelebV-Text,Faces,Real,Mono video,70000,1,No,Celeb-V-Text
nagrani2017voxceleb,VoxCeleb2,Faces,Real,Mono video,6000,1,No,VoxCeleb
livingstone2018ravdess,RAVDESS,Faces,Real,Mono video,24,1,No,RAVDESS
xie2022vfhq,VFHQ,Faces,Real,Mono video,7228,1,No,
,,,,,,,,Single Image
Karras2019style,FFHQ,Faces,Real,Single image,70000,1,No,
,,,,,,,,Human Bodies
Icsik2023humanrf,ActorsHQ,"Full-body, Garment",Real,Multi-view video,8,160,Yes,ActorsHQ (from HumanRF paper)
teufel2025humanolat,HumanOLAT,"Full-body, Garment",Real,"""OLAT, static pose""",21,40,Yes,HumanOLAT
yu2021function4d,THuman2.0,Full-body,Real,Meshes,500,128,Yes,
peng2021neural,ZJU-MoCap,Full-body,Real,Multi-view video,9,21,Yes,
shao2024human4dit,Human4DiT,Full-body,Real,Meshes,5000,180,Yes,
,,,,,,,,seamless
,,,,,,,,Garments
bertiche2020cloth3d,Cloth3D,Garment,Synthetic,Meshes,11300,,,
korosteleva2021sewingpatterns,Sewing Pattern,Garment,Synthetic,Meshes,23500,,,
jiang2020bcnet,BCNet,Garment,Synthetic,Meshes,54467,,,
,,,,,,,,Hands
moon2020interhand2,InterHand2.6M,Hands,Real,Multi-view video,27,140,Yes,
,,,,,,,,goliath relightable hands
He2025perm,Hair20k,Hair,Synthetic,3D Strands,20k,-,,Hair20k
Radu2025difflocks,DiffLocks,Hair,"Synthetic, Generated",3D Strands,40k,-,,Difflocks
Strands400,lazuardi2025geomhair,Hair,Generated,"3D Strands, Meshes",400,,,Strands400
Hu2015single,USC-HairSalon,Hair,Synthetic,3D Strands,343,-,,USC-HairSalon
shen2023CT2Hair,CT2Hair,Hair,Generated,3D Strands,10,-,,CT2Hair
